# lowerlambda  upperlambda	weight
    1920.        2260.       1.00   
    2370.        2580.       1.00   
    3100.        3200.       1.00   
    3450.        3500.       1.00   
    3500.        3550.       1.00   
    3550.        3600.       1.00   
    3600.        3650.       1.00   
    3650.        3700.       1.00   
    3750.        3950.       1.50   
    3850.        3950.       1.50   
    4000.        4100.       1.50   
    4050.        4250.       1.50   
    4400.        4475.       1.00   
    4475.        4550.       1.00
    4550.        4625.       1.00
    4625.        4700.       1.00
    4700.        4800.       1.00
    5040.        5140.       1.00
    5210.        5310.       1.00
    5400.        5500.       1.00
    5650.        5800.       1.00
    5955.        6055.       1.00
    6150.        6250.       1.00
    6400.        6490.       1.00
    6620.        6690.       1.00
    6850.        6950.       1.00
    7210.        7310.       1.00
    7410.        7570.       1.00   
    7700.        7960.       1.00   
    8200.        8340.       1.00   
    8400.        8500.       1.00   
